USDZAR,GBPZAR,EURZAR,GBPCNY,EURUSD,GBPUSD,NVDA.Close,AAPL.Close,AMZN.Close,DJT.Close,PDCO.Close,MLGO.Close
19.0608,24.1624,20.68,9.1791,1.0849,1.2678,85.96399689,170.1199951,174.1199951,46.5,26.76000023,94.40000153
19.0268,24.106,20.6241,9.1537,1.0846,1.26785,85.23699951,175.1000061,177.5800018,45.90999985,27.11000061,101.8000031
19.2279,24.2964,20.7969,9.123,1.0813,1.26435,82.27899933,179.6600037,178.2200012,38.93999863,27.35000038,103.4000015
19.2155,24.3364,20.8382,9.1145,1.0826,1.26505,79.11199951,180.75,176.7599945,41.15999985,27.09000015,113
19.1936,24.2598,20.7617,9.1315,1.0808,1.26545,77.66300201,181.4199982,173.1600037,45.15999985,26.73999977,123
19.2436,24.4153,20.8947,9.1469,1.0856,1.2688,78.7009964,182.6300049,173.5399933,45.63000107,28.84000015,146.1999969
19.3231,24.4911,20.9366,9.1471,1.0852,1.26945,79.09200287,181.1600037,174.7299957,47.22999954,28.95999908,144.8000031
19.2452,24.3847,20.8349,9.1366,1.0834,1.26805,78.81700134,182.5200043,174.9900055,49.68000031,28.79999924,138.1999969
18.854,23.9389,20.4905,9.0913,1.0844,1.26795,78.53800201,184.3699951,174.5800018,46.68000031,28.31999969,154
18.8877,23.8335,20.4157,9.0801,1.0809,1.2616,67.47200012,182.3200073,168.5899963,43.15999985,27.85000038,151.1999969
19.0681,23.9973,20.5383,9.1168,1.0802,1.25885,69.45200348,181.5599976,167.0800018,44.88000107,28.39999962,164
18.8852,23.7491,20.3262,9.08,1.0768,1.26005,72.61299896,182.3099976,169.5099945,48.54000092,28.35000038,184
18.9991,23.8477,20.3917,9.0857,1.0743,1.25515,72.65799713,183.8600006,169.8000031,50.56000137,28.94000053,162.3999939
19.1781,24.0714,20.5167,9.0664,1.0713,1.2553,73.90000153,184.1499939,170.9799957,43.54999924,28.12999916,173
18.8435,23.8276,20.2869,9.1071,1.0793,1.2668,72.12799835,185.0399933,168.6399994,41.31999969,27.86000061,165.1999969
18.9877,23.9843,20.465,9.103,1.0773,1.26165,72.2480011,187.1499939,172.3399963,45.31999969,29.09000015,180
19.0113,24.0104,20.4999,9.1174,1.0772,1.26075,72.13300323,188.8500061,174.4499969,47.02999878,28.68000031,125.1999969
18.9691,23.9324,20.4335,9.094,1.0758,1.26055,69.64099884,188.3200073,169.8399963,47.65999985,28.88999939,208
18.8512,23.8006,20.2896,9.109,1.0776,1.26315,70.09899902,189.4100037,170.5299988,45.63999939,28.54999924,114
18.9457,23.7968,20.3818,9.0541,1.0743,1.2556,68.22299957,189.3000031,169.1499939,45.49000168,28.96999931,77.40000153
18.9563,23.9314,20.416,9.0432,1.0746,1.2573,69.33200073,187.6799927,170.3099976,47.58000183,29.12000084,78
18.634,23.7732,20.2682,9.1283,1.0883,1.27585,66.16000366,185.8500061,171.8099976,40.59999847,29.78000069,83.59999847
18.7164,23.6743,20.1772,9.1205,1.0814,1.2648,63.02700043,186.8600006,159.2799988,40.22000122,30.07999992,81.80000305
18.7063,23.7346,20.2412,9.1344,1.0837,1.2686,61.52700043,184.3999939,155.1999969,37.95000076,29.86000061,80.19999695
18.8637,23.9399,20.4125,9.1096,1.0846,1.26795,62.77399826,188.0399933,159,37.79999924,30.11000061,82.80000305
18.7665,23.8579,20.3429,9.1136,1.0823,1.2695,62.46500015,191.7299957,161.2599945,36.20999908,30.04999924,89.19999695
18.9156,24.0124,20.4837,9.1443,1.0871,1.27425,61.03099823,192.4199982,159.1199951,38.18000031,30.03000069,91.80000305
18.8946,24.0434,20.5781,9.1209,1.0893,1.2732,61.61700058,194.1699982,157.75,34.90999985,30.34000015,99
18.8663,23.9819,20.4983,9.1235,1.0905,1.27415,61.36199951,194.5,156.8699951,38.15000153,29.82999992,106.4000015
19.0983,24.3294,20.8267,9.0861,1.0872,1.27065,59.8730011,195.1799927,156.0200043,50.75,30.20000076,111.1999969
19.1444,24.3201,20.8655,9.1598,1.089,1.27135,59.65399933,193.8899994,154.7799988,49.68999863,30.36000061,123.4000015
18.9904,24.0656,20.6483,9.1388,1.0887,1.2682,59.49100113,191.5599976,155.3399963,26.37999916,30.15999985,108.8000031
19.005,24.1211,20.6756,9.151,1.0875,1.2684,57.10699844,188.6300049,153.5,25.57999992,30.32999992,115.1999969
19.0093,24.0915,20.6822,9.1481,1.0877,1.269,56.0530014,182.6799927,151.7100067,23.04999924,29.71999931,115.5999985
18.8547,23.8738,20.5724,9.1354,1.0882,1.26465,56.38199997,183.6300049,153.1600037,22.35000038,29.62999916,126.1999969
18.5818,23.7364,20.3973,9.1694,1.0942,1.27265,54.70999908,185.9199982,154.6199951,17.31999969,29.62999916,139.3999939
18.6279,23.7785,20.4525,9.1238,1.0987,1.27655,54.8219986,185.5899963,155.1799927,16.92000008,29.42000008,154.6000061
18.6495,23.7016,20.4007,9.1522,1.0946,1.2728,54.34999847,186.1900024,153.7299957,17.07999992,29.51000023,147
18.6387,23.7383,20.4066,9.129,1.094,1.27135,53.13999939,185.1399994,151.3699951,17.22999954,29.63999939,152.6000061
18.8003,23.8689,20.5544,9.1327,1.0946,1.2699,52.25299835,185.5599976,149.1000061,17.23999977,29.59000015,157.1999969
18.7906,23.8209,20.5081,9.1167,1.0921,1.2654,49.09700012,181.1799927,145.2400055,17.22999954,28.60000038,168.1999969
18.6562,23.6794,20.4117,9.1105,1.0953,1.269,47.9980011,181.9100037,144.5700073,17.35000038,28.82999992,152.1999969
18.5803,23.4986,20.3529,9.0561,1.0919,1.26275,47.56900024,184.25,148.4700012,17.44000053,28.95000076,147.1999969
18.35,23.399,20.24,9.0299,1.0956,1.2661,48.16799927,185.6399994,149.9299927,17.45000076,28.69000053,166
18.4175,23.3958,20.2749,9.098,1.1023,1.27355,48.83000183,193.6000061,153.4199982,16.96999931,28.27000046,326
18.224,23.0316,19.959,9.0425,1.0983,1.26655,48.99000168,194.6799927,153.8399963,17.26000023,28.39999962,318
18.2888,23.1572,20.0445,9.0507,1.0944,1.26505,48.11100006,194.8300018,152.1199951,17.44000053,27.79999924,306
18.5484,23.5101,20.2827,9.0727,1.0962,1.27045,49.60400009,196.9400024,153.7899933,17.82999992,27.78000069,322
18.3211,23.2467,20.0066,9.034,1.0918,1.2655,50.07699966,195.8899994,154.0700073,17.82999992,27.01000023,336
18.6113,23.5024,20.2864,9.0759,1.0919,1.2692,48.34999847,198.1100006,147.4199982,17.89999962,27.34000015,362
19.0734,23.8646,20.5573,9.0007,1.0787,1.25255,48.08800125,197.9600067,148.8399963,17.95000076,26.78000069,410
19.0304,23.8765,20.5167,9.0371,1.0804,1.2571,47.6570015,194.7100067,147.4799957,17.5,26.51000023,336
19.0689,23.9315,20.5181,9.0305,1.0757,1.25895,46.6269989,193.1799927,145.8899994,17.35000038,26.54000092,362
18.8313,23.6605,20.3029,9.0067,1.0777,1.258,47.50600052,195.7100067,147.4199982,17.17000008,26.57999992,452
18.9462,23.8173,20.426,9.0029,1.0771,1.25705,46.59600067,194.2700043,146.8800049,17.06999969,26.37000084,410
18.9274,23.8542,20.4037,9.028,1.0778,1.2588,45.50299835,192.3200073,144.5200043,17.26000023,26.37999916,1916
18.8235,23.7543,20.3632,9.0338,1.0817,1.2622,46.56600189,193.4199982,146.8800049,17.29000092,26.59000015,484
18.699,23.6898,20.3277,9.0216,1.0868,1.2681,45.50999832,189.4299927,144.8399963,17.65999985,26.06999969,572
18.8143,23.8076,20.5019,9.0264,1.0875,1.2647,46.76499939,191.2400055,147.0299988,17.47999954,26.67000008,660
18.7328,23.7785,20.5059,9.0313,1.0931,1.26405,46.77000046,189.9499969,146.0899963,17.36000061,25.40999985,618
18.5316,23.5435,20.3634,9.0542,1.0985,1.2688,48.13999939,189.3699951,146.3200073,17.67000008,26.01000023,614
18.6845,23.5836,20.4558,9.0637,1.0949,1.26195,47.82099915,190.3999939,147.0299988,18.13999939,31.43000031,748
18.8238,23.7482,20.6064,9.0175,1.0951,1.26355,48.24200058,189.7899933,147.7299957,18.07999992,31.88999939,1048
18.7665,23.4976,20.4593,8.9151,1.0911,1.2535,48.7159996,191.3099976,146.7100067,17.05999947,32.31000137,962
18.3052,22.9438,20.0607,8.9425,1.0955,1.253,49.94400024,190.6399994,143.8999939,17.37999916,32.27999878,956
18.3842,22.9582,20.0884,8.955,1.0928,1.24715,50.4090004,191.4499969,146.1300049,16.62000084,32.02999878,848
18.384,22.7843,19.932,8.9666,1.0872,1.24285,49.29800034,189.6900024,145.1799927,16.18000031,32.02000046,830
